Time,Temperature,Crime
1248,71.959999,1417
1249,77,1274
1250,82.040001,1388
1251,87.080002,1283
1252,91.040001,1390
1253,84.919998,1432
1254,71.059998,1306
1255,80.059998,1445
1256,80.059998,1327
1257,80.959999,1322
1258,82.940002,1414
1259,80.059998,1416
1260,82.940002,1394
1261,80.959999,1270
1262,80.059998,1422
1263,64.040001,1260
1264,73.040001,1253
1265,66.919998,1304
1266,73.940002,1306
1267,82.040001,1334
1268,69.980003,1288
1269,71.959999,1243
1270,75.019997,1340
1271,80.059998,1324
1272,75.019997,1287
1273,80.959999,1329
1274,82.940002,1363
1275,84.919998,1481
1276,82.040001,1379
1277,82.040001,1284
1278,82.040001,1316
1279,73.940002,1450
1280,82.940002,1423
1281,69.080002,1396
1282,75.919998,1328
1283,75.019997,1294
1284,82.040001,1394
1285,87.080002,1338
1286,87.080002,1374
1287,87.080002,1409
1288,80.959999,1440
1289,84.919998,1439
1290,82.940002,1496
1291,75.019997,1439
1292,78.980003,1375
1293,82.040001,1379
1294,89.059998,1391
1295,84.919998,1371
1296,89.959999,1143
1297,73.040001,1226
1298,71.059998,1249
1299,73.040001,1320
1300,73.940002,1246
1301,80.959999,1380
1302,84.019997,1462
1303,82.940002,1427
1304,71.959999,1337
1305,84.019997,1442
1306,87.980003,1479
1307,87.980003,1409
1308,89.959999,1401
1309,73.940002,1337
1310,71.959999,1374
1311,75.919998,1342
1312,77,1364
1313,80.059998,1386
1314,84.919998,1358
1315,66.919998,1448
1316,62.060001,1334
1317,62.060001,1244
1318,71.059998,1254
1319,69.980003,1328
1320,75.019997,1357
1321,78.080002,1343
1322,82.040001,1347
1323,78.080002,1395
1324,73.040001,1340
1325,75.919998,1421
1326,73.940002,1338
1327,80.059998,1243
1328,78.980003,1427
1329,80.959999,1383
1330,77,1256
1331,82.940002,1427
1332,86,1455
1333,77,1328
1334,69.080002,1308
1335,77,1358
1336,78.980003,1434
1337,82.940002,1550
1338,84.019997,1321
1339,84.019997,1373
1340,82.940002,1459
1341,84.919998,1416
1342,80.059998,1287
1343,73.940002,1246
1344,69.980003,1351
1345,73.040001,1332
1346,80.059998,1399
1347,82.940002,1375
1348,84.919998,1285
1349,84.919998,1344
1350,84.919998,1372
1351,86,1291
1352,73.040001,1472
1353,69.980003,1379
1354,77,1345
1355,78.980003,1304
1356,78.080002,1260
1357,82.040001,1386
1358,82.040001,1341
1359,84.919998,1371
1360,82.040001,1530
1361,73.040001,1339
1362,71.959999,1228
1363,75.919998,1223
1364,66.019997,1300
1365,64.940002,1297
1366,71.959999,1229
1367,73.940002,1560
1368,57.919998,1182
1369,69.980003,1176
1370,57.919998,1158
1371,60.080002,1277
1372,75.019997,1381
1373,75.919998,1333
1374,69.980003,1314
1375,69.980003,1205
1376,62.060001,1235
1377,62.959999,1246
1378,60.98,1316
1379,62.060001,1293
1380,55.939999,1311
1381,53.060001,1353
1382,46.939999,1207
1383,53.959999,1178
1384,53.060001,1251
1385,51.98,1328
1386,53.060001,1461
1387,57.919998,1332
1388,62.959999,1448
1389,75.919998,1267
1390,66.919998,1299
1391,75.019997,1368
1392,60.080002,1325
1393,62.060001,1430
1394,60.98,1357
1395,75.919998,1467
1396,71.959999,1286
1397,55.939999,1428
1398,51.080002,1250
1399,48.919998,1129
1400,53.060001,1245
1401,51.080002,1248
1402,53.959999,1357
1403,64.940002,1256
1404,57.02,1125
1405,46.040001,1227
1406,53.060001,1286
1407,62.060001,1370
1408,51.98,1235
1409,46.939999,1302
1410,46.040001,1204
1411,50,1100
1412,50,1247
1413,55.939999,1213
1414,62.959999,1324
1415,60.98,1260
1416,55.040001,1324
1417,53.959999,1417
1418,46.040001,1180
1419,48.02,1196
1420,51.080002,1285
1421,42.98,1094
